121	-1.562373
135	-2.001888
138	-2.312184
145	-1.895139
165	-2.006334
238	-2.002494
287	-1.822822
300	-2.379882
322	-3.232093
349	-1.814385
352	-2.483439
366	-1.609824
450	-2.753772
501	-2.805549
510	-2.508459
519	-1.887498
525	-1.856866
540	-1.552955
543	-2.024065
549	-2.003511
558	-1.856268
597	-1.909634
629	-1.836242
648	-2.018203
654	-2.499635
667	-2.208022
684	-1.632626
690	-2.562497
693	-1.488768
723	-2.192587
744	-1.859716
764	-1.431635
767	-2.011812
791	-2.155428
798	-2.362706
816	-2.096375
819	-2.273507
828	-2.563083
832	-2.652498
834	-2.153198
837	-2.567537
849	-2.024247
872	-1.863301
877	-1.140177
882	-1.494589
885	-1.423527
897	-1.446761
900	-2.311841
906	-1.524561
927	-1.896479
953	-2.276795
957	-1.890225
966	-2.297021
969	-2.561841
990	-2.324149
1008	-1.658875
1013	-1.293149
1049	-1.329622
1062	-1.891624
1074	-1.273753
1082	-1.941829
1099	-2.777348
1128	-1.917291
1131	-2.797730
1155	-2.163609
1177	-2.470088
1194	-2.367776
1252	-2.059913
1254	-2.129724
1257	-2.674782
1266	-1.887648
1270	-2.016896
1281	-2.212625
1288	-1.990488
1304	-1.788682
1320	-1.998981
1370	-1.927259
1381	-2.716062
1383	-2.826598
1386	-2.283489
1416	-2.759027
1422	-2.071358
1428	-2.287554
1432	-1.489965
1447	-3.142185
1452	-1.816135
1470	-1.905369
1485	-2.186603
1521	-2.719458
1528	-1.632744
1545	-1.900343
1554	-2.804241
1564	-1.486230
1566	-1.454780
1578	-1.962696
1599	-2.157348
1623	-2.422461
1634	-2.741332
1639	-2.310924
1650	-2.479757
1668	-1.176288
1677	-2.085310
1698	-2.244064
1737	-2.751220
1755	-2.677339
1761	-2.732763
1764	-2.572930
1772	-1.877269
1782	-2.047928
1788	-2.581576
1797	-1.731278
1809	-1.733617
1857	-2.002725
1864	-2.050430
1869	-1.727477
1927	-2.501881
1941	-1.798677
1947	-1.903941
1953	-2.249799
1965	-1.747910
1991	-1.160498
1999	-1.762106
2013	-2.485239
2036	-2.801529
2046	-2.664341
2073	-2.745041
2088	-1.905416
2094	-2.696877
2097	-2.750296
2133	-2.015528
2136	-1.984540
2145	-1.742440
2163	-1.810776
2232	-1.400047
2238	-1.961258
2244	-2.312199
2256	-1.491642
2265	-1.717252
2271	-2.009166
2283	-2.133495
2285	-1.540947
2320	-2.118873
2343	-2.521834
2347	-2.116850
2379	-2.809469
2392	-2.592856
2421	-1.969327
2430	-2.637398
2444	-2.163507
2456	-2.139294
2460	-2.243275
2472	-1.815114
2488	-2.062688
2502	-1.582265
2504	-1.747792
2549	-2.724802
2566	-2.196792
2587	-2.292527
2605	-1.888623
2608	-1.814950
2629	-1.867342
2651	-2.408688
2677	-2.816223
2680	-2.916008
2700	-2.936522
2727	-2.525886
2763	-2.777136
2775	-2.092376
2784	-2.437841
2787	-1.633177
2793	-2.166527
2808	-2.010237
2817	-1.781742
2841	-2.007078
2847	-2.190777
2859	-1.870698
2864	-1.749525
2877	-2.001473
2883	-1.905823
2904	-2.221037
2922	-2.376012
2952	-1.991642
2960	-1.982176
2973	-2.276483
2976	-2.324698
3000	-2.359490
3003	-2.283375
3030	-2.412899
3033	-2.630742
3042	-1.685274
3048	-1.443906
3060	-1.932693
3072	-1.736396
3076	-1.649464
3086	-1.373165
3093	-1.062249
3096	-1.826189
3105	-1.756633
3111	-1.381763
3117	-1.319119
3119	-1.276124
3138	-1.546528
3144	-1.662956
3188	-1.976529
3201	-2.825553
3222	-2.403108
3225	-2.162289
3237	-2.537992
3243	-2.289937
3246	-1.477734
